ID,QUESTION,CLASS,ANSWER,Answerfirstsent,AnswerAdjectives,AnswerNouns,AnswerEntities,QuestionsAdjectives,QuestionsNouns,QuestionsEntities
261,Are there any low carb carrot cake recipes?,informationanddefinition,"Our mini carrot cake, with only 25g of carbohydrates per serving, can be found on the 365-recipe cookbook for free in the download section. For more info, the diabetes recipe app contains lots of low carb desserts, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many desserts that contain less than 40 carbs per serving.","our mini carrot cake, with only 25g of carbohydrates per serving, can be found on the 365-recipe cookbook for free in the download section.","['mini', 'only', 'free']","['carrot', 'cake', '25g', 'carbohydrates', 'serving', 'recipe', 'cookbook', 'download', 'section']","['carrot cake', '25g', 'serving', 'carbohydrates', 'download section', 'cookbook']",['low'],"['carb', 'carrot', 'cake', 'recipes']",['carrot cake recipes']
262,Can I eat cookies?,informationanddefinition,The Low Carb Program looks to stay away from store brought cheesecake as it’s full of sugar and when metabolised will spike your blood glucose levels.,the low carb program looks to stay away from store brought cheesecake as it’s full of sugar and when metabolised will spike your blood glucose levels.,"['low', 'full']","['carb', 'program', 'store', 'cheesecake', 'sugar', 'blood', 'glucose', 'levels']","['program', 'cheesecake', 'store', 'sugar', 'blood glucose levels']",[],['cookies'],['cookies']
263,Are there any low carb cookies?,informationanddefinition,"Our cookie recipe, with only 14g of carbohydrates per serving, can be found on the 365-recipe cookbook for free in the download section. For more info, the diabetes recipe app contains lots of low carb desserts, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many desserts that contain less than 40 carbs per serving.","our cookie recipe, with only 14g of carbohydrates per serving, can be found on the 365-recipe cookbook for free in the download section.","['only', 'free']","['cookie', 'recipe', '14g', 'carbohydrates', 'serving', 'recipe', 'cookbook', 'download', 'section']","['cookie recipe', '14g', 'carbohydrates', 'serving', 'download section', 'cookbook']",['low'],"['carb', 'cookies']",['cookies']
264,How do I add my blood sugar/glucose levels on the app?,informationanddefinition,"To add your blood glucose readings, simply go to your dashboard, scroll down to the red ""blood glucose"" card and click the + button. You will now be able to add your blood sugar and your HbA1c readings.","to add your blood glucose readings, simply go to your dashboard, scroll down to the red ""blood glucose"" card and click the + button.",['red'],"['blood', 'glucose', 'readings', 'dashboard', 'blood', 'glucose', 'card', 'button']","['blood glucose readings', 'dashboard', 'card', '+ button', 'blood glucose']",[],"['blood', 'sugar', 'glucose', 'levels', 'app']","['blood sugar', 'app', 'glucose levels']"
265,Can I eat chicken nuggets?,informationanddefinition,The Low Carb Program looks to stay away from highly processed foods like chicken nuggets as they’re full of unhealthy ingredients and the batter can be high in carbs.,the low carb program looks to stay away from highly processed foods like chicken nuggets as they’re full of unhealthy ingredients and the batter can be high in carbs.,"['low', 'full', 'unhealthy', 'high']","['carb', 'program', 'foods', 'chicken', 'nuggets', 'ingredients', 'batter', 'carbs']","['program', 'foods', 'chicken nuggets', 'batter', 'carbs', 'ingredients']",[],"['chicken', 'nuggets']",['chicken nuggets']
266,Can I eat chocolate?,informationanddefinition,"The low carb program looks to stay away from most types of chocolate, as they’re very high in sugar. That being said some types of dark chocolate are recommended. Dark chocolate that has a low sugar content and doesn’t contain dairy is somewhat of a superfood and is low carb friendly.","the low carb program looks to stay away from most types of chocolate, as they’re very high in sugar.","['low', 'most', 'high']","['carb', 'program', 'types', 'chocolate', 'sugar']","['program', 'types', 'chocolate', 'sugar']",[],['chocolate'],['chocolate']
267,Which dark chocolate brands are good for low carb?,informationanddefinition,"The Lindt excellence dark supreme chocolate is 90% cacao which might take some getting used to, but at 7 grams of sugar per 100g its an excellent option.","the lindt excellence dark supreme chocolate is 90% cacao which might take some getting used to, but at 7 grams of sugar per 100g its an excellent option.","['dark', 'supreme', 'excellent']","['lindt', 'excellence', 'chocolate', '%', 'cacao', 'grams', 'sugar', '100g', 'option']","['chocolate', 'excellence', 'option', 'sugar']","['dark', 'good', 'low']","['chocolate', 'brands', 'carb']","['dark chocolate brands', 'carb']"
268,What coffee can I order from Starbucks?,informationanddefinition,"When ordering coffee from Starbucks or any other coffee house, you have to be careful as some drinks are hiding an abundance of sugar. Any type of fresh filter coffee is void of carbs and sugar. If you want to add milk, soy or almond milk are the lowest in carbs and sugar. Solo and doppio espressos are also carb free. Espresso macchiato, espresso con panna and café Americano are also close to void of sugar.","when ordering coffee from starbucks or any other coffee house, you have to be careful as some drinks are hiding an abundance of sugar.","['other', 'careful']","['coffee', 'starbucks', 'coffee', 'house', 'drinks', 'abundance', 'sugar']","['coffee', 'coffee house', 'starbucks', 'abundance', 'sugar', 'drinks']",[],"['coffee', 'Starbucks']","['coffee', 'Starbucks']"
269,How do I make a healthy habit stick?,informationanddefinition,"Making a habit stick is mainly attributed to repetition over long periods of time. Desiring the habit to form, making the habit achievable, and sticking with it are all important aspects. For a more comprehensive guide on how to form habits feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/how-make-healthy-habit-stick/",making a habit stick is mainly attributed to repetition over long periods of time.,['long'],"['habit', 'stick', 'repetition', 'periods', 'time']","['habit stick', 'repetition']",['healthy'],"['habit', 'stick']",['habit stick']
270,Is raw sugar better than table sugar?,informationanddefinition,"The raw sugar movement would have you believe that unlike its processed peers, raw sugar isn’t damaging to your health. This, however, isn’t true. In the same way that table sugar will spike glucose levels after ingestion, so will brown sugar, raw sugar, or any other reincarnation of sugar that’s currently being marketed as the best thing since sliced bread (which funnily enough isn’t that great for you either). For more info on raw sugar feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/is-raw-sugar-healthier/","the raw sugar movement would have you believe that unlike its processed peers, raw sugar isn’t damaging to your health.","['raw', 'raw', 'damaging']","['sugar', 'movement', 'peers', 'sugar', 'health']","['sugar', 'sugar movement', 'peers', 'health']",['raw'],"['sugar', 'table', 'sugar']","['sugar', 'table sugar']"
