QUESTION,ID,ANSWER
Will Low carb help my Non-Alcoholic Fatty Liver disease?,402,"despite being geared towards type 2, as most individuals with Non-Alcoholic Fatty Liver disease  (NAFLD) also have insulin resistance, high blood pressure, and an increased type 2 risk, the Low Carb Program is an excellent way to reverse these things. The best treatment type for NAFLD is weight loss, which is prevalent on a low carb diet. In addition to this, there are many people on the programs who have actually been able to successfully treat their NAFLD through the Low Carb Program."
What are the target blood glucose levels?,403,"For type 2 diabetes, fasting levels of 4 to 7 mmol/L (72 mg/dL to 126 mg/dL) are the recommended target. Around 90 minutes after eating, under 8.5 mmol/L (153.0 mg/dL) is the recommended target."
Will the low carb program work for type 1?,404,"Despite type 1 and type 2 occurring via different mechanisms, both are related to an inability to create, process or use insulin. When this occurs, glucose is no longer efficiently absorbed into cells and stays in the blood stream. Long term, this can be quite damaging. Regardless of your type of diabetes, consuming fewer carbs can be very beneficial, even resulting in a significant decrease in medicine use."
Why haven’t I lost any weight yet?,405,"sometimes, when changing your diet it can take a little while for your body to adjust. The key here is patience. Once your body realises that this is a lifestyle change and not simply a week long diet that will soon be over, you will start shedding more fat. Some factors that may be hindering your weight loss include consuming more carbs than you realise, not exercising frequently and (again) your body adjusting. Another excellent weight loss technique is intermittent fasting. This involves a period of around 16hrs in which you do not eat, followed by an 8hr period within which you consume your food for the day. This fits in perfectly with LCHF dieting as your body becomes adapted to burning fat for energy (of which you have stores) instead of sugar which is limited. Although if youre only just starting the program I’d say to be patient and see where youre at in a few weeks before you start looking to implement Intermittent fasting. "
Will low carb help lower my blood pressure?,406,"One aspect of low carb dieting that is especially helpful for heart health is related to insulins impact on the kidneys, and thus your sodium (salt) levels. In addition to its role in glucose storage, insulin has been shown to increase kidney re-absorption of sodium. When you follow a low carb diet your insulin levels are lowered. This results in the kidneys drastically lowering their rate of re-absorption of sodium and water, leading to lower sodium levels and blood pressure. This makes the Low Carb Program an excellent dietary strategy to combat high blood pressure. For more practical ways to lower your salt intake, look to stay away from highly processed meats like bacon, sausages, cold cuts and frozen breaded meats. Canned and pickled vegetables, canned soup, seasonings and condiments can all be chocked full of salt. Its definitely worth checking the label."
Is low carb high in salt?,407,"One aspect of low carb dieting that is especially helpful for heart health is related to insulins impact on the kidneys, and thus your sodium (salt) levels. In addition to its role in glucose storage, insulin has been shown to increase kidney re-absorption of sodium. When you follow a low carb diet your insulin levels are lowered. This results in the kidneys drastically lowering their rate of re-absorption of sodium and water, leading to lower sodium levels and blood pressure. This makes the Low Carb Program an excellent dietary strategy to combat high blood pressure. For more practical ways to lower your salt intake, look to stay away from highly processed meats like bacon, sausages, cold cuts and frozen breaded meats. Canned and pickled vegetables, canned soup, seasonings and condiments can all be chocked full of salt. Its definitely worth checking the label."
Is high blood pressure dangerous?,408,"High blood pressure is dangerous as the pressure puts extra strain on your heart and blood vessels, increasing the risk of stroke and heart attack. "
What blood pressure numbers are healthy?,409,Numbers over 90/60 and lower than 120/80 are considered healthy according to Blood Pressure UK.
Are there any low carb rice substitutes?,410,Cauliflower rice is an excellent low carb substitute that is still high in vitamins and minerals. It’s super simple to make. Simply grate a cauliflower into small rice sized pieces (or you can use a food processor). Then transfer the rice to an absorbent towel or some kitchen roll and squeeze/ press the excess moisture out. Then simply sauté the rice on a medium heat until soft.
"I’m lactose intolerant, can I follow the Low Carb Program?",411,"Luckily the Low Carb Program looks to stay away from the sugar lactose as it raises blood glucose levels (something were trying to avoid). We look to cut down on carbs and replace them with healthy fats and non-starchy vegetables. Good sources of healthy fats include fresh cuts of non-processed meats, Fish, full fat Dairy like Yoghurt, Cheese, and Butter (these are typically low in lactose and may not impact you negatively), Eggs, Olives, Nuts, Seeds and Avocado. Also look to consume lots of non-starchy vegetables such as Brussels sprouts, Cabbage, Choy, Kale, Lettuce, Rocket, Spinach, Watercress, Carrots, Celeriac, Radishes, Swede. Turnip, Courgettes, Cucumber, Squash, Asparagus, Celery, Leeks, Spring Onions, Aubergine, Broccoli, Cauliflower, Mushroom and Peppers."
Can I use stevia?,412,"Generally speaking, the Low Carb Program looks to stay away from sweeteners. This is as they’ve been shown to increase caloric intake and make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. However, if you have to make the choice between the sugary and sugar free version it is better to take the sugar free version. Of course, moderation is key."
Can I use erythritol?,413,"Generally speaking, the Low Carb Program looks to stay away from sweeteners. This is as they’ve been shown to increase caloric intake and make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. However, if you have to make the choice between the sugary and sugar free version it is better to take the sugar free version. Of course, moderation is key."
Can I cook with Splenda?,414,"Generally speaking, the Low Carb Program looks to stay away from sweeteners. This is as they’ve been shown to increase caloric intake and make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. However, if you have to make the choice between the sugary and sugar free version it is better to take the sugar free version. Of course, moderation is key."
Can I use aspartame to cook with?,415,"Generally speaking, the Low Carb Program looks to stay away from sweeteners like aspartame. This is as they’ve been shown to increase caloric intake and make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. However, if you have to make the choice between the sugary and sugar free version it is better to take the sugar free version. Of course, moderation is key."
Can I cook with saccharin?,416,"Generally speaking, the Low Carb Program looks to stay away from sweeteners like saccharin. This is as they’ve been shown to increase caloric intake and make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. However, if you have to make the choice between the sugary and sugar free version it is better to take the sugar free version. Of course, moderation is key."
